taxa_name	pectoral_fin
Bryconamericus_iheringii	1
Corydoras_ellisae	1
Neblinichthys_roraima	1
Otothyris_lophophanes	1
Hyalobagrus_ornatus	1
Lacantuniidae	1
Melamphaes_suborbitalis	1
Conta_conta	1
Mystus_armatus	1
Chlorophthalmus_agassizi	1
Parahollardia_lineata	1
Ancistrus_cirrhosus	1
Cyprinodontidae	1
Cetomimidae	1
Plagopterus_argentissimus	1
Nemacheilus_masyai	1
Ichthyborus_ornatus	1
Dolichancistrus_cobrensis	1
Sciades_dowii	1
Heteropneustes_fossilis	1
Zenopsis_conchifer	1
Sturisoma_sp._Schaefer_1987	1
Sebastes_vulpes	1
Panaqolus_albomaculatus	1
Notropis_girardi	1
Pimelodus_maculatus	1
Cygnodraco_mawsoni	1
Oryzias_javanicus	1
Adrianichthys_kruyti	1
Luxilus_cerasinus	1
Aspidoras_albater	1
Pterygoplichthys_punctatus	1
Cyprinella_nivea	1
Cheilinus_trilobatus	1
Cheilinus_chlorourus	1
Catostomus_sp._Fink_and_Fink_1981	1
Malapterurus_microstoma	1
Oryzias_orthognathus	1
Cyprinella_zanema	1
Labridae	1
Ictalurus_dugesii	1
Chrysichthys_habereri	1
Pseudobagrus_brevianalis	1
Aptocyclus_ventricosus	1
Farlowella_sp._Britto_2003	1
Loricaria_sp._Friel_1994	1
Neoarius_pectoralis	1
Artedidraconidae	1
Acestrorhynchus_microlepis	1
Scorpiodoras_heckelii	1
Cyprinella_labrosa	1
Oreoglanis_siamensis	1
Cyprinus_carpio	1
Loricariinae_sp._Friel_1994	1
Microsternarchus_bilineatus	1
Typhlichthys_subterraneus	1
Corydoras_septentrionalis	1
Liposarcus_sp._Friel_1994	1
Sebastiscus_marmoratus	1
Trichomycterus_albinotatus	1
Paradistichodus_dimidiatus	1
Trichomycterus_taenia	1
Notropis_chihuahua	1
Silonia_silondia	1
Leiocassis_poecilopterus	1
Mastacembelus_ophidium	1
Cottidae	1
Brachyrhamdia_meesi	1
Hexanematichthys_sagor	1
Phenacogrammus_urotaenia	1
Sebastes_owstoni	1
Elops_hawaiensis	1
Cyclopterus_lumpus	1
Listrura_boticario	1
Brachypetersius_notospilus	1
Ernstichthys_megistus	1
Barbus_callensis	1
Pseudeutropius_atherinoides	1
Phoxinus_cumberlandensis	1
Xiurenbagrus_xiurenensis	1
Aetapcus	1
Creediidae	1
Otocinclus_vestitus	1
Chrysichthys_brachynema	1
Evermannella_balbo	1
Pseudomystus_moeschii	1
Farlowella_sp._Schaefer_1987	1
Bunocephalus_knerii	1
Hypostomus_bolivianus	1
Schilbe_congensis	1
Polymixia_lowei	1
Schizolecis_sp._Britto_2003	1
Taunayia_bifasciata	1
Brachypleura_novaezeelandiae	1
Brachyhypopomus_brevirostris	1
Parona_signata	1
Simpsonichthys_parallelus	1
Schizolecis_guntheri	1
Sternarchogiton_nattereri	1
Phractura_ansorgii	1
Monodactylus	1
Nemapteryx_armiger	1
Harpagiferidae	1
Barbatula_barbatula	1
Noturus_insignis	1
Paraliparis_garmani	1
Lefua_costata	1
Neoarius_taylori	1
Hoplomyzon_papillatus	1
Rharbichthys_ferox	1
Lindbergichthys	1
Sternopygus_macrurus	1
Sperata_seenghala	1
Mystus_leucophasis	1
Pterygoplichthys_gibbiceps	1
Platygobio_gracilis	1
Batrachocephalus_mino	1
Hypopomus_artedi	1
Cephalocassis_borneensis	1
Pseudancistrus_barbatus	1
Antennariidae	1
Dinotopterus_cunningtoni	1
Macrurocyttus_acanthopodus	1
Dolichallabes_microphthalmus	0
Trichomycteridae	1
Hemiancistrus_megacephalus	1
Cetopsis_baudoensis	1
Pseudomystus_robustus	1
Stichaeidae	1
Micralestes_cf._acutidens_Zanata_and_Vari_2005	1
Platytroctes_apus	1
Cryothenia	1
Malacosteus_niger	1
Micralestes_occidentalis	1
Poecilocharax_sp._Fink_and_Fink_1981	1
Pseudancistrus_orinoco	1
Aethotaxis	1
Pseudotriacanthus_strigilifer	1
Diplomystus_dentatus	1
Pseudobunocephalus_lundbergi	1
Chanos_chanos	1
Corydoras_guapore	1
Otocinclus_vittatus	1
Phoxinus_phoxinus	1
Microsynodontis_batesii	1
Chiloglanis_sp._F_Vigliotta_2008	1
Tatia_strigata	1
Amissidens_hainesi	1
Misgurnus_mizolepis	1
Siganus_luridus	1
Oryzias_celebensis	1
Leptorhamdia_marmorata	1
Loricariidae	1
Chiloglanis_sp._E_Vigliotta_2008	1
Notropis_calientis	1
Botia_dayi	1
Lebiasina_bimaculata	1
Neoplecostomus_sp._Schaefer_1991	1
Notropis_nubilus	1
Monopterus_boueti	0
Umbra_krameri	1
Rita_chrysea	1
Symphodus	1
Hisonotus_notatus	1
Ageneiosus_cf._guianensis_Mo_1991	1
Brycinus_carolinae	1
Ancharius	1
Phractura_lindica	1
Lophichthyidae	1
Tatia_galaxias	1
Paralepis_coregonoides	1
Chaudhuria	1
Bunocephalus_n._sp._4_Friel_1994	1
Hybopsis_winchelli	1
Phenacogrammus_ansorgii	1
Pataecidae	1
Ladigesia_roloffi	1
Hypoptychus_dybowskii	1
Notropis_candidus	1
Hypoptopoma_steindachneri	1
Hypopomidae	1
Synodontis_victoriae	1
Leptorhamdia_sp._Bockmann_1998	1
Prochilodus_lineatus	1
Acrochordonichthys_rugosus	1
Notropis_sabinae	1
Plectocretacicus_clarae	1
Chiloglanis_batesii	1
Mastacembelus_vanderwaali	1
Echeneis_naucrates	1
Bunocephalus_colombianus	1
Cetopsorhamdia_boquillae	1
Parachaenichthys_charcoti	1
Notropis_perpallidus	1
Batrochoglanis_villosus	1
Lamprogrammus_niger	1
Roestes_ogilviei	1
Phallostethidae	1
Erimonax_monachus	1
Etrumeus_teres	1
Oryzias_hubbsi	1
Xyliphius_magdalenae	1
Parakysis_anomalopteryx	1
Pareiorhaphis_splendens	1
Austroglanis_gilli	1
Acanthopsoides_graciroides_Sawada_1982	1
Lefua_echigonia	1
Nematogenyidae	1
Hemibagrus_menoda	1
Hemiodus_semitaeniatus	1
Bunocephalus_sp._3_Chen_1994	1
Cobitis_biwae	1
Luisichthys_vinalesensis	1
Opisthopterus_equatorialis	1
Ancistrus_pirareta	1
Leiocassis_saravacensis	1
Notoscopelus_resplendens	1
Aspredinichthys_tibicen	1
Roestes_molossus	1
Notropis_ortenburgeri	1
Gymnarchus_niloticus	1
Pinguipedidae	1
Parotocinclus_polyochrus	1
Chaetostoma_stannii	1
Bihunichthys_monopteroides	1
Bagre_bagre	1
Hybognathus_hankinsoni	1
Phoxinus_eos	1
Lamprogrammus_fragilis	1
Saurida_gracilis	1
Morone_americana	1
Halecomorphi	1
Stomiidae	?
Notropis_buchanani	1
Glyptothorax_trilineatus	1
Nettastomatidae	0
Notothenia	1
Synbranchus_madeirae	0
Harpagifer_antarcticus	1
Onuxodon	1
Spectracanthicus_murinus	1
Algansea_popoche	1
Cyprinella_galactura	1
Chiloglanis_niloticus	1
Dupouyichthys_sapito	1
Corydoras_maculifer	1
Lasiancistrus_caucanus	1
Cetopsorhamdia_sp._n._A_Bockmann_1998	1
Distichodus_maculatus	1
Cyema_atrum	1
Cheilinus_fasciatus	1
Distichodus_sp._Fink_and_Fink_1981	1
Astroblepus_chotae	1
Roeboides_sp._B_Lucena_and_Menezes_1998	1
Elops_saurus	1
Niwaella_multifasciata	1
Pseudotothyris_obtusa	1
Macroparalepis_affinis	1
Heptapteridae	1
Wetmorella_nigropinnata	1
Megupsilon_aporus	1
Charax_stenopterus	1
Pogonophryne_scotti	1
Erethistes_sp._Chen_1994	1
Stromateidae	1
Sudis_hyalina	1
Notropis_scabriceps	1
Notropis_rubellus	1
Sawbwa_resplendens	1
Hisonotus_candombe	1
Cetopsis_montana	1
Parodon_suborbitalis	1
Bryconamericus_brevirostris	1
Megalechis_thoracata	1
Chrysichthys_persimilis	1
Lamprogrammus_brunswigi	1
Cinetodus_crassilabris	1
Lythrurus_bellus	1
Plicofollis_argyropleuron	1
Hypostomus_albopunctatus	1
Alestopetersius_smykalai	1
Auchenoglanis_biscutatus	1
Citharinus_gibbosus	1
Pseudochromidae	1
Loricariichthys_brunneus	1
Glanidium_cesarpintoi	1
Parauchenoglanis_longiceps	1
Hexanematichthys_mastersi	1
Ancistrus_stigmaticus	1
Odontostomops_normalops	1
Nessorhamphus_ingolfianus	1
Notropis_amabilis	1
Glanidium_leopardum	1
Ipnops_agassizii	1
Glyptothorax_telchitta	1
Eleginops	1
Grammicolepis_brachiusculus	1
Cyematidae	1
Glyptothorax_cous	1
Aspredinidae	1
Micralestes_elongatus	1
Simpsonichthys_cholopteryx	1
Hemiarius_stormii	1
Acanthocobitis_botia	1
Thrissops_regleyi	1
Aspidoras_microgalaeus	1
Cranoglanis_bouderius	1
Congiopodus_peruvianus	1
Lagocephalus_laevigatus	1
Pseudopimelodus_mangurus	1
Rineloricaria_rupestris	1
Neoarius_leptaspis	1
Chaetostomus_sp._Britto_2003	1
Trichomycterus_zonatus	1
Caulophryne	1
Siphonognathus_argyrophanes	1
Allothrissops_mesogaster	1
Alestopetersius_caudalis	1
Akysis_sp._Friel_1994	1
Distocyclus_conirostris	1
Zenopsis_nebulosa	1
Hemipsilichthys?_Armbruster_2004	1
Akysis_sp._1_Chen_1994	1
Galaxiidae	1
Synodontis_acanthomias	1
Remora_brachyptera	1
Bagrichthys_macracanthus	1
Gelanoglanis_stroudi	1
Diplomystes_camposensis	1
Ictalurus_punctatus	1
Acestrorhynchus_grandoculis	1
Moenkhausia_lepidura	1
Cynopotamus_kincaidi	1
Platyurosternarchus_macrostomus	1
Auchenipteridae	1
Himantolophidae	1
Microglanis_eurystoma	1
Charitosomous_lineolatus	1
Mystus_cavasius	1
Hydrocynus_forskahlii	1
Scopelosaurus_argenteus	1
Brycinus_brevis	1
Corydoras_rabauti	1
Tricuspidalestes_caeruleus	1
Nemacheilus_savona	1
Hypophthalmidae	1
Synodontis_congica	1
Oryzias_sinensis	1
Gigantura_indica	1
Cryptacanthodidae	1
Notropis_wickliffi	1
Stomias_boa	1
Notropis_greenei	1
Racenisia_fimbriipinna	1
Cyprinella_whipplei	1
Evermannellidae	1
Yuriria_alta	1
Mystus_keletius	1
Hesperoleucus_symmetricus	1
Cetopsidium_morenoi	1
Rhamphichthys_rostratus	1
Notropis_maculatus	1
Corydoras_flaveolus	1
Limatulichthys_griseus	1
Chrysichthys_ansorgii	1
Gymnocorymbus_sp._Fink_and_Fink_1981	1
Acrochordonichthys_pachyderma	1
Rhinichthys_atratulus	1
Pseudoplesiops	1
Gilbertolus_maracaiboensis	1
Ichthyodectiformes	1
Synodontis_gambiensis	1
Oryzias_luzonensis	1
Benthalbella_macropinna	1
Lamontichthys_llanero	1
Cypriniformes	1
Pseudacanthicus_leopardus	1
Gila_crassicauda	1
Pseudobunocephalus_sp._Friel_1994	1
Megalancistrus_sp._Schaefer_1987	1
Naso_unicornis	1
Dallia_pectoralis	1
Aphyonidae	1
Astroblepus_whymperi	1
Corydoras_pygmaeus	1
Pseudotothyris_sp._Schaefer_1991	1
Neochanna_diversus	1
Xiphias_gladius	1
Trichomycterus_alternatus	1
Olyra_longicaudata	1
Pimelodus_albicans	1
Zeidae	1
Neotropius_khavalchor	1
Neoceratias_spinifer	1
Oxyropsis_sp._Schaefer_1991	1
Nedystoma_dayi	1
Genus_7_sp._Bockmann_1998	1
Pimelodus_blochii	1
Glanidium_albescens	1
Eumicrotremus_orbis	1
Lestrolepis_intermedia	1
Cetopsis_candiru	1
