taxa_name	pectoral fin	
Assiculoides	1	
Bunocephalus	1	
Formosania lacustre	1	
Otothyris sp. (Britto 2003)	1	
Protoclupea atacamensis	1	
Ancistrus pirareta	1	
Ixinandria montebelloi	1	
Anaethalion angustissimus	1	
Batasio tengana	1	
Benthalbella dentata	1	
Parotocinclus maculicauda	1	
Triportheus guentheri	1	
Bryconaethiops boulengeri	1	
Aspredinidae	1	
Domeykos profetaesis	1	
Pectinochromis lubbocki	1	
Orthrias panthera	1	
Otothyris lophophanes	1	
Centromochlus punctatus	1	
Percophidae	1	
Gvozdarus	1	
Batrochoglanis raninus	1	
Hybopsis amblops	1	
Hemibagrus peguensis	1	
Anaethalion cf. A. subovatus (Arratia 1999)	1	
Parauchenoglanis loennbergi	1	
Acrochordonichthys pachyderma	1	
Monopterus albus	0	
Triportheus nematurus	1	
Hybopsis winchelli	1	
Parauchenoglanis balayi	1	
Bathysauropsis gracilis	1	
Hemisynodontis membranaceus	1	
Parauchenoglanis ngamensis	1	
Sciades dowii	1	
Ictiobus niger	1	
Varasichthys ariasi	1	
Imparfinis pristos	1	
Glanidium cesarpintoi	1	
Gymnallabes nops	0	
Synodontis rebeli	1	
Oreoglanis macropterus	1	
Notropis dorsalis	1	
Parauchenoglanis longiceps	1	
Hemisorubim platyrhynchos	1	
Glanidium leopardum	1	
Trichiurus	1	
Paraliparis	1	
Luisichthys vinalesensis	1	
Ophisternon bengalense	0	
Imparfinis hollandi	1	
Gagata itchkeea	1	
Glanidium ribeiroi	1	
Hemibagrus menoda	1	
Bathysauropsis malayanus	1	
Platyglanis depierrei	1	
Oreoglanis delacouri	1	
Ophisternon aenigmaticum	0	
Pteragogus	1	
Synodontis pleurops	1	
Apteronotus apurensis	1	
Centrophryne spinulosa	1	
Artedidraconidae	1	
Phenacogrammus altus	1	
Chiloglanis sp. F (Vigliotta 2008)	1	
Ariidae	1	
Synodontis sp. (Royero 1999)	1	
Rineloricaria lanceolata	1	
Imparfinis sp. B (Bockmann 1998)	1	
Hemiancistrus holostictus	1	
Sinogastromyzon puliensis	1	
Oxyropsis carinata	1	
Pimelodella sp. A (Bockmann 1998)	1	
Propimelodus sp. (Mo 1991)	1	
Synbranchus marmoratus	0	
Platydoras sp. (Royero 1999)	1	
Simenchelys parasitica	1	
Sciades troschelii	1	
Hemiancistrus sp. (Armbruster 2004)	1	
Bryconops affinis	1	
Raconda russeliana	1	
Notropis texanus	1	
Imparfinis borodini	1	
Chiloglanis sp. B (Vigliotta 2008)	1	
Myxocyprinus asiaticus	1	
Clarias angolensis	1	
Pseudotriacanthus strigilifer	1	
Stylephoridae	1	
Lestrolepis intermedia	1	
Cetopsis sandrae	1	
Orthrias tigris	1	
Synodontis macrostigma	1	
Panaqolus maccus	1	
Synodontis congica	1	
Imparfinis mirini	1	
Synbranchidae	0 and 1	
Eurypholis boissieri	1	
Robia legula	1	
Cetopsis othonops	1	
Tetragonopterus argenteus	1	
Pangasiidae	1	
Centrophrynidae	1	
Panaqolus albomaculatus	1	
Mylopharodon conocephalus	1	
Melanotaenia splendida	1	
Paracetopsis esmeraldas	1	
Opisthopterus macrops	1	
Apteronotus cuchillejo	1	
Paracetopsis bleekeri	1	
Epibulus insidiator	1	
Cobitis striata	1	
Pangasianodon hypophthalmus	1	
Couesius	1	
Notropis telescopus	1	
Alabes hoesei	0	
Imparfinis stictonotus	1	
Panaqolus purusiensis	1	
Pangasianodon gigas	1	
Notropis scepticus	1	
Microglanis cibelae	1	
Glyptothorax fokiensis	1	
Otocinclus vestitus	1	
Olyridae	1	
Rita sp. (Kailola 2004)	1	
Horadandia atukorali	1	
Cretatriacanthus guidottii	1	
Monacanthidae	1	
Orinocodoras eigenmanni	1	
Pseudolaguvia ribeiroi	1	
Rita kuturnee	1	
Chionodraco rastrospinosus	1	
Imparfinis nemacheir	1	
Olyra longicaudata	1	
Halidesmus	1	
Imparfinis sp. A (Bockmann 1998)	1	
Synbranchus lampreia	0	
Oryzias latipes	1	
Synbranchus madeirae	0	
Trachinidae	1	
Hexanematichthys mastersi	1	
Coreobagrus ichikawai	1	
Richardsonius balteatus	1	
Pseudolaguvia shawi	1	
Apteronotus cuchillo	1	
Odontognathus mucronatus	1	
Glyptothorax sinensis	1	
Hemiancistrus landoni	1	
Stichaeidae	1	
Cyclopteridae	1	
Apodocreedia vanderhorsti	1	
Rita chrysea	1	
