taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Gorgasia preclara	0	0	1
Gorgasia maculata	0	0	1
Gorgasia klausewitzi	0	0	1
Gorgasia barnesi	0	0	1
Gorgasia punctata	0	0	1
Gorgasia thamani	0	0	1
Gorgasia galzini	0	0	1
Gorgasia taiwanensis	0	0	1
Bathymyrus simus	1	1	1
Bathymyrus echinorhynchus	1	1	1
Bathymyrus smithi	1	1	1
Chiloconger philippinensis	1	1	1
Chiloconger dentatus	1	1	1
Parabathymyrus oregoni	1	1	1
Parabathymyrus fijiensis	1	1	1
Parabathymyrus karrerae	1	1	1
Parabathymyrus brachyrhynchus	1	1	1
Parabathymyrus macrophthalmus	1	1	1
Paraconger californiensis	1	1	1
Paraconger guianensis	1	1	1
Paraconger caudilimbatus	1	1	1
Paraconger ophichthys	1	1	1
Paraconger macrops	1	1	1
Paraconger similis	1	1	1
Paraconger notialis	1	1	1
Ariosoma opistophthalmum	1	1	1
Ariosoma multivertebratum	1	1	1
Ariosoma prorigerum	1	1	1
Ariosoma mellissii	1	1	1
Ariosoma nigrimanum	1	1	1
Ariosoma anagoides	1	1	1
Ariosoma howensis	1	1	1
Ariosoma sokotranum	1	1	1
Ariosoma sereti	1	1	1
Ariosoma sazonovi	1	1	1
Ariosoma fasciatum	1	1	1
Ariosoma bauchotae	1	1	1
Ariosoma marginatum	1	1	1
Ariosoma selenops	1	1	1
Ariosoma anale	1	1	1
Ariosoma coquettei	1	1	1
Ariosoma mauritianum	1	1	1
Ariosoma gilberti	1	1	1
Ariosoma ophidiophthalmus	1	1	1
Ariosoma obud	1	1	1
Ariosoma megalops	1	1	1
Ariosoma meeki	1	1	1
Ariosoma scheelei	1	1	1
Ariosoma shiroanago	1	1	1
Ariosoma major	1	1	1
Ariosoma balearicum	1	1	1
Ariosoma anago	1	1	1
Macrocephenchelys brevirostris	1	1	0
Macrocephenchelys brachialis	1	1	0
Hiodon tergisus	1	2	0
Hiodon alosoides	1	2	0
Heterotis niloticus	1	2	1
Scleropages leichardti	1	1	1
Scleropages jardinii	1	1	1
Scleropages formosus	1	2	0
Osteoglossum ferreirai	1	1	1
Osteoglossum bicirrhosum	1	2	0
Notopterus notopterus	1	1	1
Xenomystus nigri	1	1	1
Chitala hypselonotus	1	1	1
Chitala borneensis	1	1	1
Chitala chitala	1	1	1
Chitala ornata	1	1	1
Chitala blanci	1	1	1
Chitala lopis	1	1	1
Papyrocranus congoensis	1	1	0
Papyrocranus afer	1	1	0
Gymnarchus niloticus	1	1	0
Lepidogalaxias salamandroides	1	2	1
Trachinocephalus myops	1	2	0
Synodus scituliceps	1	2	0
Synodus synodus	1	2	0
Synodus foetens	1	2	0
Synodus variegatus	1	2	0
