taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Gymnothorax prionodon	?	?	?
Thyrsoidea tessellata	?	?	?
Gymnothorax ypsilon	0	0	1
Gymnothorax pikei	0	0	1
Gymnothorax woodwardi	0	0	1
Gymnothorax punctatus	0	0	1
Gymnothorax niphostigmus	0	0	1
Gymnothorax sokotrensis	0	0	1
Gymnothorax nasuta	0	0	1
Gymnothorax melanosomatus	?	?	?
Gymnothorax polyspondylus	0	0	1
Gymnothorax sagmacephalus	0	0	1
Gymnothorax pindae	0	0	1
Gymnothorax marshallensis	0	0	1
Gymnothorax prismodon	0	0	1
Gymnothorax kontodontos	0	0	1
Gymnothorax herrei	0	0	1
Gymnothorax prolatus	0	0	1
Gymnothorax parini	0	0	1
Gymnothorax serratidens	0	0	1
Gymnothorax sagenodeta	?	?	?
Gymnothorax longinquus	0	0	1
Gymnothorax hubbsi	0	0	1
Gymnothorax bathyphilus	0	0	1
Gymnothorax austrinus	0	0	1
Gymnothorax cribroris	0	0	1
Gymnothorax walvisensis	0	0	1
Gymnothorax johnsoni	0	0	1
Gymnothorax phalarus	0	0	1
Gymnothorax megaspilus	0	0	1
Gymnothorax pseudoherrei	0	0	1
Gymnothorax moluccensis	0	0	1
Gymnothorax chlamydatus	0	0	1
Gymnothorax annasona	0	0	1
Gymnothorax conspersus	0	0	1
Gymnothorax randalli	0	0	1
Gymnothorax taiwanensis	0	0	1
Gymnothorax eurygnathos	0	0	1
Gymnothorax microspila	?	?	?
Gymnothorax tile	0	0	1
Gymnothorax mareei	0	0	1
Gymnothorax microstictus	0	0	1
Gymnothorax nuttingi	0	0	1
Gymnothorax enigmaticus	0	0	1
Gymnothorax formosus	0	0	1
Gymnothorax monostigma	0	0	1
Gymnothorax nigromarginatus	0	0	1
Gymnothorax kolpos	0	0	1
Gymnothorax mccoskeri	0	0	1
Gymnothorax breedeni	0	0	1
Gymnothorax intesi	0	0	1
Gymnothorax obesus	0	0	1
Gymnothorax ryukyuensis	0	0	1
Gymnothorax hansi	0	0	1
Siderea geometrica	?	?	?
Gymnothorax cephalospilus	0	0	1
Gymnothorax angusticauda	0	0	1
Gymnothorax annulatus	0	0	1
Gymnothorax angusticeps	0	0	1
Gymnothorax nubilus	0	0	1
Gymnothorax dorsalis	0	0	1
Gymnothorax flavoculus	0	0	1
Gymnothorax dovii	0	0	1
Gymnothorax equatorialis	0	0	1
Gymnothorax philippinus	0	0	1
Gymnothorax neglectus	0	0	1
Gymnothorax verrilli	0	0	1
Gymnothorax punctatofasciatus	0	0	1
Gymnothorax shaoi	0	0	1
Gymnothorax castlei	0	0	1
Gymnothorax vagrans	0	0	1
Gymnothorax phasmatodes	0	0	1
Gymnothorax atolli	0	0	1
Gymnothorax panamensis	0	0	1
Gymnothorax emmae	?	?	?
Gymnothorax baranesi	0	0	1
Gymnothorax davidsmithi	0	0	1
Gymnothorax monochrous	0	0	1
Gymnothorax porphyreus	0	0	1
Gymnothorax flavimarginatus	0	0	1
Gymnothorax leucostigma	?	?	?
Gymnothorax pseudothyrsoideus	0	0	1
Gymnothorax australicola	0	0	1
Gymnothorax sp. BOLD:AAH2268	?	?	?
Gymnothorax fuscomaculatus	0	0	1
Gymnothorax sp. 2 NH-2012	?	?	?
Gymnothorax undulatus	0	0	1
Gymnothorax rueppellii	0	0	1
Gymnothorax castaneus	0	0	1
Gymnothorax moringa	0	0	1
Gymnothorax isingteena	0	0	1
Gymnothorax polygonius	0	0	1
Gymnothorax sp. 3 NH-2012	?	?	?
Gymnothorax saxicola	0	0	1
Gymnothorax robinsi	0	0	1
Gymnothorax pictus	0	0	1
Gymnothorax ocellatus	0	0	1
Gymnothorax minor	0	0	1
Gymnothorax griseus	0	0	1
Gymnothorax richardsonii	0	0	1
Gymnothorax prasinus	0	0	1
Gymnothorax polyuranodon	0	0	1
Gymnothorax kidako	0	0	1
Gymnothorax funebris	0	0	1
Gymnothorax vicinus	0	0	1
Gymnothorax thyrsoideus	0	0	1
Gymnothorax mordax	0	0	1
Gymnothorax reticularis	0	0	1
Gymnothorax margaritophorus	0	0	1
Gymnothorax buroensis	0	0	1
Gymnothorax gracilicauda	0	0	1
Gymnothorax melatremus	0	0	1
Gymnothorax sp. BOLD:AAG1984	?	?	?
Gymnothorax sp. 1 NH-2012	?	?	?
Gymnothorax unicolor	0	0	1
Gymnothorax steindachneri	0	0	1
Gymnothorax zonipectis	0	0	1
Gymnothorax bacalladoi	0	0	1
Gymnothorax berndti	0	0	1
Gymnothorax chilospilus	0	0	1
Gymnothorax eurostus	0	0	1
Gymnothorax favagineus	0	0	1
Gymnothorax fimbriatus	0	0	1
Gymnothorax hepaticus	0	0	1
Gymnothorax javanicus	0	0	1
Gymnothorax meleagris	0	0	1
Gymnothorax reevesii	0	0	1
Gymnothorax maderensis	0	0	1
Gymnothorax afer	0	0	1
Gymnothorax albimarginatus	0	0	1
Gymnothorax miliaris	0	0	1
Gymnothorax nudivomer	0	0	1
